Input Bits,Counter Examples,0.1,0.3,0.5,0.7,0.9
6.0,0.0,-,15.0,15.0,15.0,15.0
6.0,1.0,5.0,5.0,5.0,5.0,5.0
6.0,3.0,-,5.0,5.0,5.0,9.0
6.0,6.0,-,12.0,12.0,12.0,14.0
6.0,13.0,-,5.0,5.0,5.0,-
7.0,0.0,-,36.0,36.0,36.0,36.0
7.0,1.0,8.0,8.0,8.0,8.0,8.0
7.0,6.0,-,8.0,8.0,17.0,30.0
7.0,13.0,-,8.0,9.0,15.0,15.0
7.0,26.0,-,8.0,8.0,8.0,8.0
8.0,0.0,-,78.0,78.0,78.0,78.0
8.0,3.0,-,12.0,12.0,12.0,23.0
8.0,13.0,-,12.0,12.0,22.0,23.0
8.0,26.0,-,12.0,12.0,12.0,12.0
8.0,51,-,12.0,20.0,23.0,50.0
9.0,0.0,-,153.0,153.0,153.0,153.0
9.0,5.0,-,17.0,17.0,17.0,80.0
9.0,26.0,-,17.0,17.0,17.0,17.0
9.0,51.0,-,17.0,17.0,17.0,17.0
9.0,102.0,-,48.0,48.0,48.0,-
